Course Year,Type,Min_Date,Max_Date,Course_Start,Course_End,Mkt_actions
2019,Marketing action 3,2019-07-01,2019-09-30,2019-06-01,2020-06-01,3
2019,Marketing action 1,2019-01-01,2019-04-30,2019-01-01,2020-01-01,1
2019,Marketing action 2,2019-08-25,2019-11-30,2019-05-15,2020-05-15,2
2018,Marketing action 3,2018-07-01,2018-09-30,2018-06-01,2019-06-01,3
2018,Marketing action 1,2018-01-01,2018-04-30,2018-01-01,2019-01-01,1
2018,Marketing action 2,2018-08-25,2018-11-30,2018-05-15,2019-05-15,2
2017,Marketing action 3,2017-07-01,2017-09-30,2017-06-01,2018-06-01,3
2017,Marketing action 1,2017-01-01,2017-04-30,2017-01-01,2018-01-01,1
2017,Marketing action 2,2017-08-25,2017-11-30,2017-05-15,2018-05-15,2
